Altium Designer Pick and Place Locations
C:\Users\miiri\Desktop\RAVI_FILES\Altium_Projects\Electronics_In_Sports_Project\Bow_Module_ESS-Archery\Bow_Module_ESS_Archery\Project Outputs for Bow_Module_ESS_Archery\Pick Place for ESS_BOW_PCB.csv

========================================================================================================================
File Design Information:

Date:       29/08/26
Time:       10:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C2x","Comment","TopLayer","CAP_0603_1608","4185.000","2835.000","180",""
"TP_VBUS","Comment","TopLayer","Test_Pad","4480.000","2750.000","0",""
"IC4","ESP32-C3-MINI-1-N4X","TopLayer","ESP32C3MINI1N4X","3460.000","3751.024","0","Integrated Circuit"
"D1","Green","TopLayer","LED_0805_2012_GREEN","3551.339","2820.590","0","LED GREEN CLEAR 0805 SMD"
"TP_3V3","","TopLayer","Test_Pad","3650.000","3000.000","90","Test point 1.5mm"
"J_BAT","S2B-PH-SM4-TB(LF)(SN)_1","TopLayer","JST_S2B-PH-SM4-TB(LF)(SN)","4616.811","3023.110","90","Connector Header Surface Mount, Right Angle 2 position 0.079 (2.00mm)"
"TP_STUS","","TopLayer","Test_Pad","4170.000","3190.000","90","Test point 1.5mm"
"TP_GATE","","TopLayer","Test_Pad","3237.402","3327.402","90","Test point 1.5mm"
"TP_EN","Test Point","TopLayer","Test_Pad","2975.000","3660.000","90","Test point 1.5mm"
"TP_CHG","","TopLayer","Test_Pad","4090.000","3190.000","90","Test point 1.5mm"
"TP_Boot","","TopLayer","Test_Pad","3720.000","3370.000","90","Test point 1.5mm"
"SW1","PCM12SMTR","TopLayer","SW_PCM12SMTR","3855.945","2785.453","0","Slide Switch SPDT Surface Mount, Right Angle"
"S1","TS04-66-43-BK-100-SMT","TopLayer","TS046643BK100SMT","4194.134","3678.583","0","Switch"
"R16","100 kOhms","TopLayer","RES_0603_1608","3355.000","3260.000","180","RES 100K OHM 0.1% 1/16W 0603"
"R15","100 Ohms","TopLayer","RES_0603_1608","3355.000","3330.000","180","RES 100 OHM 0.1% 1/16W 0603"
"R14","3.9 Ohms","TopLayer","RES_0603_1608","3375.000","2890.000","90","RES SMD 3.9 OHM 5% 1/10W 0603"
"R13","10 kOhms","TopLayer","RES_0603_1608","3870.000","3730.000","90","RES 10K OHM 0.1% 1/16W 0603"
"R12","1 kOhms","TopLayer","RES_0603_1608","3510.000","2920.590","270","RES SMD 1K OHM 0.1% 1/16W 0603"
"R11","10 kOhms","TopLayer","RES_0603_1608","3704.409","3310.000","180","RES 10K OHM 0.1% 1/16W 0603"
"R10","22 Ohms","TopLayer","RES_0603_1608","3925.000","3455.000","90","RES SMD 22 OHM 1% 1/10W 0603"
"R9","22 Ohms","TopLayer","RES_0603_1608","3850.000","3420.000","90","RES SMD 22 OHM 1% 1/10W 0603"
"R8","10 kOhms","TopLayer","RES_0603_1608","3715.590","3435.000","0","RES 10K OHM 0.1% 1/16W 0603"
